,parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes
23975,tt12606372,Detective Extralarge,1.0,1991.0,2.0,1991.0,5.9,1103,1094.0,1991,166102,0.6640498007248559
5458,tt0098749,"Beverly Hills, 90210",3.0,1992.2222222222222,10.0,1990.0,6.713333333333333,4695,3851.9,1992,173429,2.707159702241263
5479,tt0098765,The Case-Book of Sherlock Holmes,2.0,1992.0,3.0,1991.0,7.2,1088,2373.0,1992,173429,0.6273460609240669
5525,tt0098800,The Fresh Prince of Bel-Air,3.0,1992.4,6.0,1990.0,7.616666666666667,13409,14679.0,1992,173429,7.73169423798788
5531,tt0098802,Get a Life,2.0,1992.0,2.0,1990.0,8.676923076923078,2836,4022.0,1992,173429,1.6352513132175126
5600,tt0098830,In Living Color,3.0,1992.0,5.0,1990.0,6.596551724137931,1272,1044.0,1992,173429,0.7334413506391665
5606,tt0098833,Jeeves and Wooster,3.0,1992.0,4.0,1990.0,8.200000000000001,1003,1148.25,1992,173429,0.5783346499143742
5612,tt0098837,Keeping Up Appearances,3.0,1992.5,5.0,1990.0,8.0,1292,1713.4,1992,173429,0.7449734473473295
5618,tt0098844,Law & Order,3.0,1992.1052631578948,20.0,1990.0,7.718181818181816,4779,4987.65,1992,173429,2.7555945084155478
5650,tt0098878,Northern Exposure,3.0,1992.0,6.0,1990.0,8.31304347826087,3862,2571.8333333333335,1992,173429,2.2268478743462743
5714,tt0098929,Tiny Toon Adventures,2.0,1992.5,3.0,1990.0,7.707692307692306,637,1781.6666666666667,1992,173429,0.36729728015499136
5736,tt0098948,Wings,3.0,1992.0,8.0,1990.0,7.968181818181818,2123,1884.75,1992,173429,1.2241320655715018
5782,tt0101050,Blossom,3.0,1992.5,5.0,1990.0,7.596153846153845,990,1013.8,1992,173429,0.5708387870540682
5809,tt0101069,The Commish,2.0,1992.25,5.0,1991.0,7.895454545454546,1640,1435.0,1992,173429,0.9456319300693655
5819,tt0101076,Darkwing Duck,3.0,1992.0,3.0,1991.0,7.4923076923076914,1549,4188.0,1992,173429,0.893160890047224
5824,tt0101081,Dinosaurs,2.0,1992.0,4.0,1991.0,7.837499999999999,3268,2047.5,1992,173429,1.8843446021138333
5863,tt0101120,Home Improvement,2.0,1992.142857142857,8.0,1991.0,7.504,5178,4786.0,1992,173429,2.985659837743399
5930,tt0101178,The Ren & Stimpy Show,2.0,1992.25,5.0,1991.0,8.4,1980,1278.0,1992,173429,1.1416775741081364
5940,tt0101188,Rugrats,2.0,1992.6666666666667,10.0,1991.0,7.538461538461541,2821,1486.5,1992,173429,1.6266022406863905
5972,tt0101205,Step by Step,2.0,1992.1666666666667,7.0,1991.0,6.066666666666669,1463,1301.142857142857,1992,173429,0.843572874202123
6022,tt0103359,Batman: The Animated Series,1.0,1992.0,4.0,1992.0,8.096666666666666,91085,29800.0,1992,173429,52.520051433151316
6093,tt0103426,The Golden Palace,1.0,1992.0,1.0,1992.0,7.3875,1061,1061.0,1992,173429,0.6117777303680468
6094,tt0103428,Goof Troop,1.0,1992.0,2.0,1992.0,7.758461538461538,2124,1230.0,1992,173429,1.2247086704069101
6110,tt0103442,Highlander,1.0,1992.0,6.0,1992.0,7.659090909090907,4474,3103.8333333333335,1992,173429,2.579730033616062
6126,tt0103466,The Larry Sanders Show,1.0,1992.0,6.0,1992.0,7.861538461538462,2442,1866.8333333333333,1992,173429,1.4080690080667015
6142,tt0103484,Mad About You,1.0,1992.0,8.0,1992.0,7.418181818181816,2832,1916.875,1992,173429,1.63294489387588
6151,tt0103488,Martin,1.0,1992.0,5.0,1992.0,7.95925925925926,1401,1112.6,1992,173429,0.8078233744068177
6156,tt0103491,Melrose Place,1.0,1992.0,7.0,1992.0,7.418181818181819,2811,2587.285714285714,1992,173429,1.620836192332309
6273,tt0103586,The Young Indiana Jones Chronicles,1.0,1992.0,2.0,1992.0,7.883333333333333,929,1817.5,1992,173429,0.5356658920941711
6287,tt0105929,Absolutely Fabulous,1.0,1992.0,6.0,1992.0,8.266666666666666,2082,1653.6666666666667,1992,173429,1.2004912673197679
6297,tt0105933,The Adventures of Pete & Pete,1.0,1992.0,3.0,1992.0,8.366666666666669,1318,1233.3333333333333,1992,173429,0.7599651730679413
9840,tt0172009,Hélène et les garçons,1.0,1992.0,1.0,1992.0,6.577500000000001,1722,1722.0,1992,173429,0.9929135265728338
10062,tt0179552,The Adventures of Tintin,3.0,1992.0,3.0,1991.0,7.5307692307692315,3263,3637.0,1992,173429,1.8814615779367925
5459,tt0098749,"Beverly Hills, 90210",4.0,1993.3333333333333,10.0,1990.0,6.6,4223,3851.9,1993,260749,1.6195651757053717
5480,tt0098765,The Case-Book of Sherlock Holmes,3.0,1993.0,3.0,1991.0,6.65,2172,2373.0,1993,260749,0.8329849778906151
5526,tt0098800,The Fresh Prince of Bel-Air,4.0,1993.6,6.0,1990.0,7.665384615384616,15592,14679.0,1993,260749,5.979696949940364
5601,tt0098830,In Living Color,4.0,1993.0,5.0,1990.0,6.496969696969696,968,1044.0,1993,260749,0.37123824060686716
5607,tt0098833,Jeeves and Wooster,4.0,1993.0,4.0,1990.0,7.983333333333333,939,1148.25,1993,260749,0.3601164338118267
5613,tt0098837,Keeping Up Appearances,4.0,1993.75,5.0,1990.0,8.057142857142859,1217,1713.4,1993,260749,0.4667323748125592
5619,tt0098844,Law & Order,4.0,1993.157894736842,20.0,1990.0,7.695454545454544,4769,4987.65,1993,260749,1.8289619519154436
5651,tt0098878,Northern Exposure,4.0,1993.0,6.0,1990.0,8.187999999999999,3295,2571.8333333333335,1993,260749,1.2636673582640776
5737,tt0098948,Wings,4.0,1993.0,8.0,1990.0,7.981818181818181,1799,1884.75,1993,260749,0.6899355318716467
5783,tt0101050,Blossom,4.0,1993.75,5.0,1990.0,7.614285714285716,1032,1013.8,1993,260749,0.395782917671784
5810,tt0101069,The Commish,3.0,1993.5,5.0,1991.0,7.909090909090909,1719,1435.0,1993,260749,0.6592546855405006
5825,tt0101081,Dinosaurs,3.0,1993.0,4.0,1991.0,7.722727272727272,2389,2047.5,1993,260749,0.9162067735638487
5864,tt0101120,Home Improvement,3.0,1993.2857142857142,8.0,1991.0,7.587999999999998,4952,4786.0,1993,260749,1.8991443878979402
5931,tt0101178,The Ren & Stimpy Show,3.0,1993.5,5.0,1991.0,7.460000000000001,978,1278.0,1993,260749,0.3750733463982604
5973,tt0101205,Step by Step,3.0,1993.3333333333333,7.0,1991.0,6.456521739130435,1225,1301.142857142857,1993,260749,0.46980045944567383
6009,tt0103352,Are You Afraid of the Dark?,3.0,1993.3333333333333,7.0,1990.0,8.9,9390,8228.57142857143,1993,260749,3.601164338118267
6023,tt0103359,Batman: The Animated Series,2.0,1993.0,4.0,1992.0,8.249999999999998,11717,29800.0,1993,260749,4.4935934557754775
6044,tt0103376,Bottom,2.0,1993.0,3.0,1991.0,8.549999999999999,1840,1827.6666666666667,1993,260749,0.7056594656163591
6077,tt0103405,"Dr. Quinn, Medicine Woman",1.0,1993.0,6.0,1993.0,7.764705882352941,2562,2506.3333333333335,1993,260749,0.9825541037549521
6095,tt0103428,Goof Troop,2.0,1993.0,2.0,1992.0,7.576923076923077,336,1230.0,1993,260749,0.12885955459081339
6111,tt0103442,Highlander,2.0,1993.2,6.0,1992.0,7.845454545454545,3469,3103.8333333333335,1993,260749,1.3303981990343203
6127,tt0103466,The Larry Sanders Show,2.0,1993.2,6.0,1992.0,7.822222222222219,2154,1866.8333333333333,1993,260749,0.8260817874661073
6152,tt0103488,Martin,2.0,1993.25,5.0,1992.0,8.27037037037037,1281,1112.6,1993,260749,0.49127705187747606
6157,tt0103491,Melrose Place,2.0,1993.1666666666667,7.0,1992.0,7.967741935483872,2466,2587.285714285714,1993,260749,0.9457370881575768
